Name,year,month,HN,HS,HS_gapfill,HS_gapfill_frac
Agnieres_en_devoluy,1969,12,71,30.3225806451613,30.3225806451613,0
Agnieres_en_devoluy,1970,1,20,14.6129032258065,14.6129032258065,0
Agnieres_en_devoluy,1970,2,94,36.1428571428572,36.1428571428572,0
Agnieres_en_devoluy,1970,3,76,61.1612903225807,61.1612903225807,0
Agnieres_en_devoluy,1970,4,50,17.1333333333333,17.1333333333333,0
Agnieres_en_devoluy,1970,5,0,0,0,0
Agnieres_en_devoluy,1970,6,,,,
Agnieres_en_devoluy,1970,7,,,,
Agnieres_en_devoluy,1970,8,,,,
Agnieres_en_devoluy,1970,9,,,,
Agnieres_en_devoluy,1970,10,,,,
Agnieres_en_devoluy,1970,11,10,0,0,0
Agnieres_en_devoluy,1970,12,87,11.8064516129032,11.8064516129032,0
Agnieres_en_devoluy,1971,1,64,47.4838709677419,47.4838709677419,0
Agnieres_en_devoluy,1971,2,33,54.4285714285714,54.4285714285714,0
Agnieres_en_devoluy,1971,3,108,60.3548387096774,60.3548387096774,0
Agnieres_en_devoluy,1971,4,2,17.8333333333333,17.8333333333333,0
Agnieres_en_devoluy,1971,5,,,,
Agnieres_en_devoluy,1971,6,,,0,0.933333333333333
Agnieres_en_devoluy,1971,7,,,,
Agnieres_en_devoluy,1971,8,,,,
Agnieres_en_devoluy,1971,9,,,,
Agnieres_en_devoluy,1971,10,,,,
Agnieres_en_devoluy,1971,11,86,12.1666666666667,12.1666666666667,0
Agnieres_en_devoluy,1971,12,11,17,17,0
Agnieres_en_devoluy,1972,1,60,27.4516129032258,27.4516129032258,0
Agnieres_en_devoluy,1972,2,90,31.6551724137931,31.6551724137931,0
Agnieres_en_devoluy,1972,3,41,16.0322580645161,16.0322580645161,0
Agnieres_en_devoluy,1972,4,20,0,0,0
Agnieres_en_devoluy,1972,5,4,0,0,0
Agnieres_en_devoluy,1972,6,,,0,1
Agnieres_en_devoluy,1972,7,,,,
Agnieres_en_devoluy,1972,8,,,,
Agnieres_en_devoluy,1972,9,,,,
Agnieres_en_devoluy,1972,10,,,,
Agnieres_en_devoluy,1972,11,5,0,0,0
Agnieres_en_devoluy,1972,12,2,0,0,0
Agnieres_en_devoluy,1973,1,63,12.7096774193548,12.7096774193548,0
Agnieres_en_devoluy,1973,2,56,43.6785714285714,43.6785714285714,0
Agnieres_en_devoluy,1973,3,28,38.7741935483871,38.7741935483871,0
Agnieres_en_devoluy,1973,4,47,5.86666666666667,5.86666666666667,0
Agnieres_en_devoluy,1973,5,,,,
Agnieres_en_devoluy,1973,6,,,0,1
Agnieres_en_devoluy,1973,7,,,,
Agnieres_en_devoluy,1973,8,,,,
Agnieres_en_devoluy,1973,9,,,,
Agnieres_en_devoluy,1973,10,,,,
Agnieres_en_devoluy,1973,11,20,0.666666666666667,0.666666666666667,0
Agnieres_en_devoluy,1973,12,12,5.16129032258065,5.16129032258065,0
Agnieres_en_devoluy,1974,1,30,2.2258064516129,2.2258064516129,0
Agnieres_en_devoluy,1974,2,171,29,29,0
Agnieres_en_devoluy,1974,3,61,28.4193548387097,28.4193548387097,0
Agnieres_en_devoluy,1974,4,6,0.2,0.2,0
Agnieres_en_devoluy,1974,5,0,0,0,0
Agnieres_en_devoluy,1974,6,,,0,1
Agnieres_en_devoluy,1974,7,,,,
Agnieres_en_devoluy,1974,8,,,,
Agnieres_en_devoluy,1974,9,0,0,0,0
Agnieres_en_devoluy,1974,10,50,2.25806451612903,2.25806451612903,0
Agnieres_en_devoluy,1974,11,37,3.73333333333333,3.73333333333333,0
Agnieres_en_devoluy,1974,12,8,1,1,0
Agnieres_en_devoluy,1975,1,22,1.45161290322581,1.45161290322581,0
Agnieres_en_devoluy,1975,2,10,0.357142857142857,0.357142857142857,0
Agnieres_en_devoluy,1975,3,52,8.09677419354839,8.09677419354839,0
Agnieres_en_devoluy,1975,4,38,3.2,3.2,0
Agnieres_en_devoluy,1975,5,4,0,0,0
Agnieres_en_devoluy,1975,6,,,0,1
Agnieres_en_devoluy,1975,7,,,,
Agnieres_en_devoluy,1975,8,,,,
Agnieres_en_devoluy,1975,9,,,,
Agnieres_en_devoluy,1975,10,4,0.129032258064516,0.129032258064516,0
Agnieres_en_devoluy,1975,11,16,0.933333333333333,0.933333333333333,0
Agnieres_en_devoluy,1975,12,28,3.64516129032258,3.64516129032258,0
Agnieres_en_devoluy,1976,1,34,4.41935483870968,4.41935483870968,0
Agnieres_en_devoluy,1976,2,70,27.0689655172414,27.0689655172414,0
Agnieres_en_devoluy,1976,3,67,8.41935483870968,8.41935483870968,0
Agnieres_en_devoluy,1976,4,7,0.233333333333333,0.233333333333333,0
Agnieres_en_devoluy,1976,5,,,,
Agnieres_en_devoluy,1976,6,,0,0,0
Agnieres_en_devoluy,1976,7,,,,
Agnieres_en_devoluy,1976,8,,,,
Agnieres_en_devoluy,1976,9,,,,
Agnieres_en_devoluy,1976,10,0,0,0,0
Agnieres_en_devoluy,1976,11,26,1.03333333333333,1.03333333333333,0
Agnieres_en_devoluy,1976,12,72,12.7741935483871,12.7741935483871,0
Agnieres_en_devoluy,1977,1,60,13.6451612903226,13.6451612903226,0
Agnieres_en_devoluy,1977,2,60,7.57142857142857,7.57142857142857,0
Agnieres_en_devoluy,1977,3,49,2.12903225806452,2.12903225806452,0
Agnieres_en_devoluy,1977,4,18,0.133333333333333,0.133333333333333,0
Agnieres_en_devoluy,1977,5,,,,
Agnieres_en_devoluy,1977,6,,,0,1
Agnieres_en_devoluy,1977,7,,,,
Agnieres_en_devoluy,1977,8,,,,
Agnieres_en_devoluy,1977,9,,,,
Agnieres_en_devoluy,1977,10,,,,
Agnieres_en_devoluy,1977,11,30,6.9,6.9,0
Agnieres_en_devoluy,1977,12,25,3.7741935483871,3.7741935483871,0
Agnieres_en_devoluy,1978,1,160,23.0967741935484,23.0967741935484,0
Agnieres_en_devoluy,1978,2,151,77.4642857142857,77.4642857142857,0
Agnieres_en_devoluy,1978,3,100,32.1612903225807,32.1612903225807,0
